TITLE	AUTHOR(s)	"TRANSLATOR(s), EDITOR(s), etc."	SUBJECT	STATUS	DATE	ISBN
The Library of Greek Mythology	Apollodorus	trans. Hard	Religion; Theology	None	2025 December	9780199536320
On Being and Essence	"Aquinas, Thomas"	trans. Maurer	Religion; Theology	Partial	2025	9780888442505
Nicomachean Ethics	Aristotle	trans. Crisp	Philosophy	Partial	2025 August	9781107612235
Confessions	Augustine	trans. Chadwick	Religion; Theology	Complete	2024 August	9780199537822
Narratology; Introduction to the Theory of Narrative	"Bal, Mieke"	trans. Boheemen	Criticism	None	2026 January	9781442628342
Modern European Poetry	Barnstone; Various	ed. Barnstone	Literature; Poetry	Partial	2025 August	9780553127225
A Barthes Reader	"Barthes, Roland"	ed. Sontag	Philosophy	None	2025 August	9780809013940
Elements of Semiology	"Barthes, Roland"	trans. Lavers and Smith	Philosophy; Language	Partial	2024 December	9780374521468
Postmodern Ethics	"Bauman, Zygmunt"	N/A	Philosophy; Ethics	Partial	2025 December	9780631186939
Waiting for Godot	"Beckett, Samuel"	N/A	Literature; Play	Partial	2023	9780802144423
The Helping Interview	"Benjamin, Alfred"	N/A	Philosophy; Mind	Partial	2025 August	9780395186048
Beowulf	Beowulf Poet	trans. Heaney	Literature; Poetry	Partial	2025 December	9780393320978
Ways of Seeing	"Berger, John"	N/A	Criticism	Complete	2025	9780140135152
Three Dialogues between Hylas and Philonous	"Berkeley, George"	ed. Adams	Philosophy; Mind	Complete	2025 August	9780915144617
Holy Bible; New Testament with Psalms & Proverbs (KJV)	Bible	pub. Thomas Nelson	Religious Primary	Partial	2025 November	N/A
The Orthodox Study Bible (OSB/NKJV)	Bible	ed. St. Athanasius Academy; pub. Thomas Nelson	Religious Primary	Partial	2024	N/A
Dying for Ideas; The Dangerous Lives of Philosophers	"Bradatan, Costica"	N/A	History	None	2024 December	9781472529718
The Myth of Sisyphus	"Camus, Albert"	trans. O'Brien	Literature	Partial	2023	9780525564454
The Plague	"Camus, Albert"	trans. Gilbert	Literature	None	2023	9780679720218
The Rebel	"Camus, Albert"	trans. Bower	Literature	None	2023	9780679733843
The Stranger	"Camus, Albert"	trans. Ward	Literature	Complete	2023	9780679720201
Eros the Bittersweet	"Carson, Anne"	N/A	Criticism	Complete	2025 August	9780691247939
Thongor and the Wizard of Lemuria	"Carter, Lin"	N/A	Literature	None	2024 July	N/A
Academic Writing as if Readers Matter	"Cassuto, Leonard"	N/A	Criticism	None	2024 November	9780691195797
Catechism of the Catholic Church	Catholic Church	N/A	Religious Primary	Partial	2024	9780385508190
St. Augustine's Philosophy of Beauty	"Chapman, Emmanuel"	N/A	Religion; Theology	Partial	2025 October	N/A
The Canterbury Tales	"Chaucer, Geoffrey"	trans. Coghill	Literature; Poetry	None	2025 December	978014042386
Invisible Women; Data Bias in a World Designed for Men	"Criado-Perez, Caroline"	N/A	Philosophy; Poltics	Partial	2025 December	9781419735219
The Roots of Danger; Violent Crime in Global Perspective	"Currie, Elliott"	N/A	Sociology	Partial	2026 January	9780190215231
The Phenomenon of Man	"de Chardin, Teilhard"	intro. Huxley	Religion; Theology	Partial	2024	N/A
Foucault	"Deleuze, Gilles"	fore. Bove	Philosophy; Postmodern	None	2024	9780816616752
God Is Red; A Native View of Religion	"Deloria, Vine"	N/A	Religion; Theology	None	2022	97815559149181
Writing and Difference	"Derrida, Jacques"	trans. Bass	Philosophy; Structure	None	2025 August	9780226143295
Discourse on Method	"Descartes, Rene"	trans. Vietch	Philosophy; Metaphysics	Partial	2024	N/A
Meditations on First Philosophy	"Descartes, Rene"	trans. Cress	Philosophy; Metaphysics	Complete	2025 August	9780872201927
Demons	"Dostoevsky, Fyodor"	trans. Pevear and Volokhonsky	Literature; Russian	None	2025	9780679734512
The Brothers Karamazov	"Dostoevsky, Fyodor"	trans. Garnett	Literature; Russian	Complete	2023	9780451530608
The Idiot	"Dostoevsky, Fyodor"	trans. Myers	Literature; Russian	None	2024	978019953639
White Nights	"Dostoevsky, Fyodor"	trans. Garnett	Literature; Russian	Complete	2023	9781676885634
Xenia	"Dragomoschenko, Arkadii"	trans. Hejinian and Balashova	Literature; Poetry	None	2025 August	9781557131072
"Death to the World (nos. 2, 6)"	DTTW	N/A	Religion; Theology	Complete	2024	N/A
The Elementary Forms of Religious Life	"Durkheim, Emile"	trans. Cosman	Religion; Theology	Partial	2026 January	9780199540129
Vernacular Poetics in the Middle Ages	Ebin; Various	"ed. Ebin, Lois"	Criticism	Partial	2025	9780918720192
"Time's Echo; The Second World War, The Holocaust, and the Music of Rememberance"	"Eichler, Jeremy"	N/A	History	Partial	2024 October	9780525521716
The End of Days	"Erpenbeck, Jenny"	trans. Bernofsky	Literature	Complete 	2026 January	9780811225137
Discipline & Punish	"Foucault, Michel"	trans. Sheridan	Philosophy; Postmodern	Partial	2024	9780679752554
Madness & Civilization	"Foucault, Michel"	trans. Howard	Philosophy; Postmodern	Partial	2024	9780679721109
The Archaeology of Knowledge & The Discourse on Language	"Foucault, Michel"	"trans. Smith, Joseph"	Philosophy; Postmodern	None	2025 August	9780394711068
The History of Sexuality (vol. 1)	"Foucault, Michel"	trans. Hurley	Philosophy; Postmodern	None	2024	9780679724698
On Bullshit	"Frankfurt, Harry G."	N/A	Philosophy; Language	None	2023	9780691122946
The Ego and the Id	"Freud, Sigmund"	trans. Riviere; ed. Strachey; intro. Gay	Philosophy; Mind	Partial	2024	9780393001423
